ID,Name,Incident Type,Status,Severity,Summary,Incident Manager,Reporter,Comms Lead,IM SLT,Tech Lead,Impacted Platform,Impacted Client(s),Resolution (Fix) ,Impact ,Fault Responsibility,Zoom Meeting Link,VoucherEngine Component,Root Cause Analysis Summary,Repeat Incident,Monitoring,Detection & Triage,Investigation & Resolution,Client Communication,Affected services,Environment Type,Post-Mortem Document,Created At,Reported at,Accepted at,Declined at,Merged at,Canceled at,Resolved at,Impact started at,Identified at,Fixed at,Documented at,Reviewed at,Closed at,Incident duration,Updated At,Creator Alert ID,Visibility,Workload Total (minutes),Workload In Working Hours (minutes),Workload In Late Hours (minutes),Workload In Sleeping Hours (minutes),Channel name,Channel link,Source,Opted out of post-incident flow
107,Transaction Processing Issue,Service Incident,Post-Incident Tasks & Documentation,P1,"Multiple Crimson alerts indicating failures, particularly high XML-RPC latency on transaction processing hosts. Initial alerts were resolved, but new ones continued to appear. Database Team is investigating the procedure causing the spikes",Snothile Dlamini,Snothile Dlamini,,,,VoucherEngine,,Database team killed the long-running query. ,,Paymentology,https://paymentology.zoom.us/j/89802996453?pwd=3f5xKbIGcOGl6jp3wxwYw7uwPR0PoT.1,,,,,,,,,,https://paymentology.atlassian.net/wiki/spaces/TS/pages/8646328326/Retrospective+-+INC-107+Transaction+Processing+Issue,2025-04-03T12:23:14.164Z,2025-04-03T12:23:14.164Z,,,,,2025-04-03T12:37:33.376Z,2025-04-03T12:22:00.000Z,2025-04-03T12:37:33.376Z,,,,,859,2025-04-03T13:56:51.098Z,,public,295.4,295.4,0,0,03apr-p1-107-transaction-processing-issue,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08LX5CAB09,Reported by Snothile Dlamini,false
108,Full Outage on Cortex Transaction Processing,Service Incident,Post-Incident Tasks & Documentation,P4,"**Issue:** There was a full outage on CORTEX transaction processing for BOJ, stopping all transactions.

**Impact:** Transactions were stopped, impacting the transaction processing.

**Causes:** The specific cause of the outage has not been identified, as application logs did not show any errors. Network team is currently investigating as well.

**Steps to resolve:** PR and PP were restarted, but it did not have any effect. Transactions resumed processing successfully without any specific action from Paymentology.",Daniel Velado,Daniel Velado,,,,Banking.Live,Bank of Jordan,,,Client,"https://teams.microsoft.com/l/meetup-join/19:meeting_MmUxNWQyOWEtNzY5Yi00Mzg0LWEwNzUtOGI0ODMzM2Q4YTk1@thread.v2/0?context=%7B%22Tid%22:%224f7797e2-a59f-4381-ad8e-b81223603c9d%22,%22Oid%22:%2277fd2081-e5b3-4187-a436-a13e4cc70a0f%22%7D",,,,,,,,,,,2025-04-03T17:10:03.550Z,2025-04-03T17:10:03.550Z,,,,,2025-04-03T17:28:46.060Z,,2025-04-03T17:28:46.060Z,,,,,1122,2026-02-02T14:55:29.466Z,,public,150.9,140.9,10,0,03apr-p4-108-full-outage-on-cortex-transaction-processing,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08LFDE3PRU,Reported by Daniel Velado,false
109,Partial Outage on Transaction Processing,Service Incident,Post-Incident Tasks & Documentation,P2,"On April 3rd at 19:52 UTC, Paymentology Monitoring team received an alert regarding db usage, which partially interrupted authorisations for 4 minutes.

The impact was from 19:47 to 19:51 UTC.",Daniel Velado,Daniel Velado,,,,Banking.Live,Bank Al Etihad,,,Paymentology,,,,,,,,,,,,2025-04-03T22:36:27.032Z,2025-04-03T22:36:27.032Z,,,,,,,,,,,,,2026-02-02T14:58:43.623Z,,public,15.3,15.3,0,0,03apr-p2-109-partial-outage-on-transaction-processing,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08LS4PUTUL,Reported by Daniel Velado,false
110,Partial Outage of Transaction Processing,Service Incident,Root Cause Analysis and Corrective Actions,P1,"On 04 April 2025 at 02:36 UTC, Paymentology's support team was alerted on processing issues in a PayPower instance. Initial investigation showed that the PayPower_01 server was non-responsive, impacting transactions processing via PayPower_01 from multiple schemes.

A reboot was initiated at 03:11 UTC and completed at 03:33 UTC. Transaction processing via PayPower_01 normalised thereafter, and no new issues were observed during monitoring.

The infrastructure team is currently performing a detailed investigation to identify the root cause and further updates on the root cause and preventive actions will be provided in the RCA Report (RCAR).",Vicnesh Baskar,Vicnesh Baskar,,,Dominic Wee,Banking.Live,Wio,PayPower_01 server was rebooted,Some transactions are being processed in standin by MC,Paymentology,,,,,,,,,,,https://paymentology.atlassian.net/wiki/spaces/TS/pages/8647999493/Retrospective+-+INC-110+Partial+Outage+of+Transaction+Processing,2025-04-04T03:12:47.103Z,2025-04-04T03:12:47.103Z,,,,,2025-04-04T05:33:48.940Z,,2025-04-04T03:27:30.364Z,2025-04-04T03:40:54.946Z,2025-04-04T06:24:59.888Z,,,8461,2025-04-04T07:04:27.279Z,,public,650.2,542.9,74.3,33,04apr-p1-110-partial-outage-of-transaction-processing,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08LAPG1N0P,Reported by Vicnesh Baskar,false
111,API Processing Timeouts,Service Incident,Closed,P2,"D360 experienced slowness, timeouts, and ""bad gateway"" errors across all APIs and PayControl in the production environment. The issue was traced to unresponsiveness from PayAPI node `10.12.2.4`, which was making API calls to the backend virtual IP `10.16.1.57`. From 07:23 UTC, no responses were received from the backend, causing threads to hang and the node to become unresponsive. Despite one node being affected, the load balancer did not redirect traffic to the healthy node, leading to a broader impact.

Both PayAPI services were restarted on nodes `10.12.2.4` and `10.12.2.5`, restoring normal API functionality. No errors were observed post 07:58 UTC.",Snothile Dlamini,Snothile Dlamini,,,Kamal Thapa,Banking.Live,D360,,,Paymentology,,,,,,,,,,,https://paymentology.atlassian.net/wiki/spaces/TS/pages/8649900170/Retrospective+-+INC-111+API+Processing+Timeouts,2025-04-07T08:41:59.154Z,2025-04-07T08:41:59.154Z,,,,,2025-04-07T07:59:00.000Z,2025-04-07T07:23:00.000Z,,,,,2025-04-07T08:41:59.154Z,,2026-02-02T15:00:20.543Z,,public,143.7,133.3,0,10.4,07apr-p2-111-api-processing-timeouts,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08MC62F717,Reported by Snothile Dlamini,false
112,Partial Processing Outage on MADA Transaction Processing,Service Incident,Post-Incident Tasks & Documentation,P2,"**Issue:** High CPU usage on D360 caused server MADA 4 to stop processing transactions and the Rule Engine to decline transactions.

**Impact:** Partial TBD

**Causes:** Long Query on DB

**Steps to resolve: The** Issue resolved itself without Paymentology's intervention.
Rule Engine error is a separate behaviour caused by DE22, and it is already addressed.",Daniel Velado,Daniel Velado,,,,Banking.Live,D360,,,Paymentology,,,,,,,,,,,https://paymentology.atlassian.net/wiki/spaces/TS/pages/8657273566/Retrospective+-+INC-112+Partial+Processing+Outage+on+MADA+Transaction+Processing,2025-04-08T18:45:57.483Z,2025-04-08T18:45:57.483Z,,,,,2025-04-08T19:05:21.111Z,,2025-04-08T19:05:21.111Z,,,,,1163,2025-04-11T00:21:45.247Z,,public,352.4,301.8,50.6,0,08apr-p2-112-partial-processing-outage-on-mada-transaction-processing,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08ME72HHCK,Reported by Daniel Velado,false
113,Partial Outage of Transction Processing,Service Incident,Root Cause Analysis and Corrective Actions,P3 - Critical,"On 10th April 2025 at 00:54 UTC, the client reported that they were observing that 2 bin routes were down for MADA. Initial investigation showed that 1 out of 4 MADA PRs was down since 22:26 UTC, 9th April 2025. The service was restarted, and transaction processing normalised after 03:07 UTC with no further issues. The issue was resolved by restarting the affected MADA instance. Internal investigation is ongoing, and further updates on the root cause and preventive actions will be provided in the RCA Report (RCAR).",Vicnesh Baskar,Vicnesh Baskar,,,Jenifer Cachero,Banking.Live,D360,The issue was resolved by restarting the affected MADA instance,Loss of resiliency and partial outage as some transaction processing via 1 out of 4 MADA PRs impacted,Paymentology,,,,,,,,,,,,2025-04-10T04:29:35.451Z,2025-04-10T04:29:35.451Z,,,,,2025-04-10T04:33:34.581Z,2025-04-08T22:26:00.000Z,2025-04-10T04:33:34.581Z,,2025-04-10T07:23:45.241Z,,,239,2026-02-02T15:02:59.009Z,,public,313.4,294.8,0,18.6,10apr-p3-critical-113-partial-outage-of-transction-processing,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08MNJRCY3C,Reported by Vicnesh Baskar,false
114,Partial Outage of Transaction Processing,Service Incident,Post-Incident Tasks & Documentation,P2,"On April 10th at 20:13 UTC our Monitoring Team received an alert regarding intermitent connection on PayPower. Paymentology Network team confirmed we experienced VPN disconnections for some clients, however only Coverflex had affected transactions

We are currently investigating with the ISP for root cause analysis.

Start time:10-Apr-2025 20:02
End time :10-Apr-2025 20:36",Daniel Velado,Daniel Velado,,,,Banking.Live,Coverflex,,,Third-Party - Paymentology,,,,,,,,,,,https://paymentology.atlassian.net/wiki/spaces/TS/pages/8657273661/Retrospective+-+INC-114+Partial+Outage+of+Transaction+Processing,2025-04-10T22:20:42.240Z,2025-04-10T22:20:42.240Z,,,,,,,,,,,,,2026-02-02T15:02:08.738Z,,public,35.1,25.1,10,0,10apr-p2-114-partial-outage-of-transaction-processing,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08MTCHTK4L,Reported by Daniel Velado,false
115,D360 GenerateSettlementReport failure - MADA,Service Incident,Closed,P3 - Non-Critical,"Max heap space for D360 PayScheduler was increased to 8 GB from 4 GB.
GenerateSettlementReport had successfully completed",Dominic Wee,Dominic Wee,,,,Banking.Live,D360,,,Paymentology,,,,,,,,,,,,2025-04-11T01:28:19.343Z,2025-04-11T01:28:19.343Z,,,,,2025-04-11T01:44:58.660Z,,2025-04-11T01:44:58.660Z,,,,2025-04-11T01:44:58.660Z,999,2026-02-02T15:04:33.647Z,,public,109.4,109.4,0,0,11apr-p3-non-critical-115-d360-generatesettlementreport-failure-mada,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08MU04HJKE,Reported by Dominic Wee,false
116,HighLatencyOnMeaWalletCallretrieveContactData,Service Incident,Closed,P4,"We received PD alert on the High Latency on /api/pws/predigitize-lite/v1/retrieveContactData on SharedEU. Per checking the API servers are up and processing fine. API calls are successful and only the API pws_mea_wallet_retrieve_contact_data encountered connection timed out. API Instance 01 was restarted to be sure all processing fine. Per further checking with Infra team, found that load balancer processing fine and other mea wallet calls are also processing fine. The pws_mea_wallet_retrieve_contact_data is not frequently called that is why we are not seeing any new calls as of now. No impact on AUTH and API.",Jenifer Cachero,Jenifer Cachero,,,Jenifer Cachero,Banking.Live,,,,,,,,,,,,,,,,2025-04-11T06:25:18.657Z,2025-04-11T06:25:18.657Z,,,,,2025-05-21T23:05:41.395Z,,2025-05-21T23:05:41.395Z,,,,2025-05-21T23:05:41.395Z,3516022,2025-05-21T23:05:41.495Z,,public,21.3,21.1,0,0.2,11apr-p4-116-highlatencyonmeawalletcallretrievecontactdata,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08MJCKH56J,Reported by Jenifer Cachero,false
117,MC clearing file processing failure,Service Incident,Root Cause Analysis and Corrective Actions,P1,"The issue affecting Mastercard T112 clearing files has been confirmed to stem from a server migration performed by Mastercard over the weekend. Paymentology was moved to a new MFE server, which introduced an encoding error in the clearing files, causing parsing failures.

Mastercard has since rolled back the change and moved Paymentology back to the legacy system. A test file was restaged by Mastercard and successfully parsed by Paymentology, confirming the resolution. All impacted files from April 13th onward have been resent and processed successfully. No further files are pending.

A formal RCA will be shared by Mastercard. Transaction processing remained unaffected throughout the incident.",Vicnesh Baskar,Vicnesh Baskar,,,Abdul Sahaptheen,Banking.Live,"Islandsbanki, Wio, MOX, Nomo Bank, Bank of Jordan, Mettle, Tweeq, Utility Warehouse, Constantinople, C24, Snappi, Xendit, Manigo","Paymentology was moved to a new MFE server, which introduced an encoding error in the clearing files, causing parsing failures.  Mastercard has since rolled back the change and moved Paymentology back to the legacy system.",3rd clearing file for processing is delayed for all MC clients.,Third-Party - Client,,,,,,,,,,,https://app.incident.io/paymentology/incidents/01JRQ9HGJWVY3J318X7TXS31XT?tab=postmortem_document,2025-04-13T10:01:25.372Z,2025-04-13T10:01:25.372Z,,,,,2025-04-15T03:22:52.464Z,,2025-04-15T03:22:52.464Z,,2025-04-17T05:53:13.604Z,,,148887,2026-02-02T15:05:16.036Z,,public,3461.8,2490.4,524.6,446.8,13apr-p1-117-mc-clearing-file-processing-failure,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08N2M2D80K,Reported by Vicnesh Baskar,false
118,Partial Outage of Transaction Processing ,Service Incident,Post-Incident Tasks & Documentation,P1,"Partial Outage occurred from 12:46 till 13:01 UTC on 14th April. One instance of PayRoute was not processing, it resumed processing without any action from support. Root cause investigation in progress.",Kaisar Mahmood,Kaisar Mahmood,,,,Banking.Live,TymeBank SA,,Partial Outage on Transaction Processing. 226 transactions impacted. ,Paymentology,,,,,,,,,,,https://paymentology.atlassian.net/wiki/spaces/TS/pages/8666382363/Retrospective+-+INC-118+Partial+Outage+of+Transaction+Processing,2025-04-14T13:27:23.579Z,2025-04-14T13:27:23.579Z,,,,,2025-04-14T16:46:40.000Z,2025-04-14T04:46:00.000Z,2025-04-14T16:46:40.000Z,,,,,11956,2025-04-15T07:18:56.994Z,,public,340.2,274.3,23.8,42.2,14apr-p1-118-partial-outage-of-transaction-processing,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08MNA85ZHD,Reported by Kaisar Mahmood,false
119,Partial Outage of Transaction Processing,Service Incident,Root Cause Analysis and Corrective Actions,P3 - Critical,"On 15 April 2025 at 02:40 UTC, the Monitoring team was alerted on a disconnection for multiple VISA PayRoute (PR) instances. Initial investigation showed that some VISA PR instances experienced brief disconnections. While most automatically reconnected within 20 seconds, 1 VISA PR failed to reconnect and required a manual restart.

The instance was restarted at 03:02 UTC, after which transaction processing normalised. VISA has been engaged to confirm if there were any activities or disruptions. Further updates on the root cause and preventive actions will be provided in the RCA Report (RCAR).",Vicnesh Baskar,Vicnesh Baskar,,,Jenifer Cachero,Banking.Live,"Wio, D360",1 VISA PR was restarted,Partial Outage of Transaction Processing,Third-Party - Client,,,,,,,,,,,,2025-04-15T03:31:01.697Z,2025-04-15T03:31:01.697Z,,,,,2025-04-15T04:18:22.551Z,,2025-04-15T04:18:22.551Z,,2025-04-15T06:43:54.527Z,,,2840,2026-02-02T15:06:05.035Z,,public,293.4,283.4,10,0,15apr-p3-critical-119-partial-outage-of-transaction-processing,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08MYJB82KG,Reported by Vicnesh Baskar,false
245,Duplicate Card Record PAN File,Service Incident,Post-Incident Tasks & Documentation,P1,"On April 15, perso file processing failures resulted in duplicate entries across three PAN files, causing 36,000 duplicate card records to be generated (20% of GoTyme’s April order). Impacted cards were scrapped, leading to operational, financial, and reputational impact.

Multiple clients and manufacturers were affected, including GoTyme, OneCard, Albo, RCS, Remessa, Kauri, P100, and Coverally. Root cause is suspected to be linked to perso file reprocessing without clearing temporary files and/or misconfiguration during AWS migration (pgp utilities folder missing). Further validation is ongoing.",Snothile Dlamini,Snothile Dlamini,,,,VoucherEngine,"Albo, GoTyme, OneCard / OnePlan, RCS Group",L2 Support reprocessed 22 of 23 perso files; remaining file (Albo 44409) reprocessed on May 1 after escalation,,Paymentology,,,,,,,,,,,https://paymentology.atlassian.net/wiki/spaces/TS/pages/8970436617/2025-04-15+-+P1+-+Duplicate+Card+Record+PAN+File,2025-09-05T12:38:01.525Z,2025-04-15T13:01:00.000Z,,,,,2025-04-16T01:05:00.000Z,,,,,,,43440,2026-02-02T16:53:14.439Z,,public,369.1,358.8,10.3,0,05sep-p1-245-duplicate-card-record-pan-file,https://slack.com/app_redirect?team=T03SMJWS8&channel=C09DV6WEGRJ,Reported by Snothile Dlamini,false
120,Partial Outage of Transaction Processing,Service Incident,Root Cause Analysis and Corrective Actions,P1,"On 16 April 2025 at 08:07 HKT, the Application Support team was alerted about a partial outage impacting transaction processing. Initial investigation revealed that the PayKeyService (PKS) was unable to connect to its configured Hardware Security Modules (HSMs). HSM01 (primary) and HSM02 (secondary) were unavailable, resulting in all transactions that required the HSM’s to fail in processing.

HSM01 was not reachable and could not be remotely restarted. HSM02 was successfully restarted remotely, after this restart HSM02 started successfully processing transactions. All HSM traffic continued to successfully process via HSM02. To restore full resiliency, an ECR was implemented at 18:00 UTC on 16th April to add a HSM in Singapore as the Secondary HSM. HSM01 currently remains inaccessible. PYTG support teams are continuing to work with HSM vendor (Utimaco) to recovery and operationalise the appliance.

Further updates on the root cause and preventive actions will be provided in the RCA Report (RCAR).  ",Vicnesh Baskar,Vicnesh Baskar,,,Jenifer Cachero,Banking.Live,MOX,"Restart HSM02, reconfigure DR HSM as backup",Partial Outage of Transaction Processing,Third-Party - Paymentology,,,,,,,,,,,https://paymentology.atlassian.net/wiki/spaces/TS/pages/8671887381/Retrospective+-+INC-120+Partial+Outage+of+Transaction+Processing,2025-04-16T00:33:42.628Z,2025-04-16T00:33:42.628Z,,,,,2025-04-16T02:18:00.000Z,2025-04-16T00:07:00.000Z,2025-04-16T02:30:05.741Z,,2025-05-22T07:10:38.322Z,,,6257,2026-02-02T15:07:24.177Z,,public,3789.5,3051.2,448.1,290.3,16apr-p1-120-partial-outage-of-transaction-processing,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08NG7G8D26,Reported by Vicnesh Baskar,false
121,Full Outage of Transaction Processing ,Service Incident,Post-Incident Tasks & Documentation,P1,"**Issue:** ADQ is experiencing a partial outage of transaction processing due to database long running queries.  **Impact:** Transactions were not processing, impacting the handling of MC and VISA transactions.

**Causes:** The issue is caused by long running database queries, which resulted in CPU usage reaching 100%.

**Steps to resolve:** The long queries have been terminated ad applications were restarted to clear the remaining db connections, transaction processing for MC and VISA have resumed. A Jira ticket is being raised to address and solve the issue more efficiently in the future.",Daniel Velado,Daniel Velado,,,,Banking.Live,Wio,,,Paymentology,,,,,,,,,,,https://paymentology.atlassian.net/wiki/spaces/TS/pages/8671297622/Retrospective+-+INC-121+Full+Outage+of+Transaction+Processing,2025-04-16T17:20:18.608Z,2025-04-16T17:20:18.608Z,,,,,2025-04-16T17:55:38.204Z,,2025-04-16T17:55:38.204Z,,,,,2119,2026-02-02T15:07:51.638Z,,public,521.9,461.8,40.1,20,16apr-p1-121-full-outage-of-transaction-processing,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08NDS50GH3,Reported by Daniel Velado,false
125,Partial Outage of Transaction Processing,Service Incident,Post-Incident Tasks & Documentation,P1,"On April 19th at 14:34 UTC our Monitoring team received an alert regarding a PayRoute instance not receiving MC transactions.
Advanced support restarted the affected PayRoute instance and transactions started to arrive at 14:49 UTC.

An internal ticket has been created for our Application team to investigate the reason behind the disconnection.

Started: 2025-04-19 14:27:16.764
Finished: 2025-04-19 14:49:58.210

Advice messages: 5720
Approved transactions: 5816
Impact: 0.49%",Daniel Velado,Daniel Velado,,,,Banking.Live,C24,,,Paymentology,,,,,,,,,,,https://paymentology.atlassian.net/wiki/spaces/TS/pages/8675033237/Retrospective+-+INC-125+Partial+Outage+of+Transaction+Processing,2025-04-19T15:50:18.750Z,2025-04-19T15:50:18.750Z,,,,,,,,,,,,,2026-02-02T15:08:37.723Z,,public,278.1,261.1,17,0,19apr-p1-125-partial-outage-of-transaction-processing,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08PJG6R81W,Reported by Daniel Velado,false
126,Partial Outage of Transaction Processing,Service Incident,Root Cause Analysis and Corrective Actions,P1,"On 21 April 2025 at 00:36 UTC, the monitoring team was alerted on errors in the PayRoute instance connecting to AFS. Initial investigation showed repeated socket connection resets between AFS and PayRoute instance, resulting in advisement messages for some transactions since 22:51 UTC, 20th April. 

Despite these resets, the system was able to reconnect automatically on each reset and continued to process some transactions. The last advisement was observed at 00:36 UTC, 21st April. PayRoute-AFS instance was manually restarted at 00:51 UTC as a precautionary recovery step. Close monitoring was in place and no further advisements were received.

AFS and Paymentology’s Network team have been engaged for a detailed analysis. Further updates on the root cause and preventive actions will be included in the RCA Report (RCAR).",Vicnesh Baskar,Vicnesh Baskar,,,Dominic Wee,Banking.Live,Dopay LLC,The issue was resolved by restarting the PayRoute-AFS service and restoring connectivity to AFS,Partial Outage of Transaction Processing,Third-Party - Client,,,,,,,,,,,https://paymentology.atlassian.net/wiki/spaces/TS/pages/8675393563/Retrospective+-+INC-126+Partial+Outage+of+Transaction+Processing,2025-04-21T01:04:15.878Z,2025-04-21T01:04:15.878Z,,,,,2025-04-21T01:50:14.796Z,2025-04-20T22:51:00.000Z,2025-04-21T01:50:14.796Z,,2025-04-21T06:08:48.886Z,,,2758,2026-02-02T15:09:09.972Z,,public,402.2,332,30.2,40,21apr-p1-126-partial-outage-of-transaction-processing,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08P1HBLLH1,Reported by Vicnesh Baskar,false
127,Partial Outage of Transaction Processing - MOX,Service Incident,Post-Incident Tasks & Documentation,P3 - Critical,"Partial outage on transaction processing occurred from 11:13 UTC till 11:23 UTC on 21st April. 119 transactions were impacted. Currently transactions are processing as expected. Initial investigation shows signs of delayed response from Rules Engine, further investigation into the technical root cause is ongoing.",Kaisar Mahmood,Kaisar Mahmood,,,Kamal Thapa,Banking.Live,MOX,"Issue auto resolved, no action taken by support teams to resolve the issue.",Partial Outage on Transaction Processing (119 Txns Impacted / 2141 Successfully processed)  ,Paymentology,,,,,,,,,,,,2025-04-21T12:31:56.054Z,2025-04-21T12:31:56.054Z,,,,,2025-04-21T14:00:23.084Z,2025-04-21T03:13:00.000Z,2025-04-21T14:00:23.084Z,,,,,5307,2025-04-21T14:00:24.167Z,,public,691.7,447.2,186.6,58,21apr-p3-critical-127-partial-outage-of-transaction-processing-mox,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08P3N3RW1G,Reported by Kaisar Mahmood,false
128,Partial Outage of API Processing,Service Incident,Post-Incident Tasks & Documentation,P2,"**Issue:** On April 22nd at 15:44 UTC, we received reports of intermittent API calls returning 404 errors for client Rain.

Advanced support restarted the server with high CPU usage and this stopped the impact. Additional restarts were also performed on the other API servers to prevent any future CPU spike

**Impact:** Approximately 15% of API calls are affected, accurate number couldn't be retrieved as those calls were not reaching our application.
15% was calculated using the 117 failed examples provided by the client against the 600+ successful API calls that were processed within the same timeframe.

**Causes:** Preliminary investigation shows a high CPU usage on papi06 server. Internal tickets were created for our team to investigate what caused the high CPU usage and to create an alert for 404 errors on Nginx servers.

 **Steps to resolve:**  Application Restart

 

 ",Daniel Velado,Daniel Velado,,,,Banking.Live,Rain,,,Paymentology,"https://teams.microsoft.com/l/meetup-join/19:meeting_ZjlhNWIyYTAtZDk1Ni00ODhjLWEzOGUtZjRlYWQ2YWFkNDll@thread.v2/0?context=%7B%22Tid%22:%224f7797e2-a59f-4381-ad8e-b81223603c9d%22,%22Oid%22:%2277fd2081-e5b3-4187-a436-a13e4cc70a0f%22%7D",,,,,,,,,,https://paymentology.atlassian.net/wiki/spaces/TS/pages/8680210462/Retrospective+-+INC-128+Partial+Outage+of+API+Processing,2025-04-22T17:34:38.585Z,2025-04-22T17:34:38.585Z,,,,,2025-04-22T21:03:23.945Z,,2025-04-22T19:00:51.993Z,,,,,8924,2026-02-02T15:09:53.686Z,,public,442.9,359,30,53.9,22apr-p2-128-partial-outage-of-api-processing,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08PAPMQ2HY,Reported by Daniel Velado,false
129,Full Outage of Transaction Processing,Service Incident,Root Cause Analysis and Corrective Actions,P1,"On 23rd April 2025 at 00:14 UTC, the support team was informed of a Jetco transaction processing issue by the client, who was contacted by JETCO regarding transaction failures. Further investigation revealed a disconnection on Jetco PayRoute since 08:02 HKT, as the server hosting Jetco PayPower and Jetco PayRoute services had reached 100% disk utilisation due to log file growth. This caused the virtual machine to shut down, leading to a complete halt in Jetco transaction processing.

Disk cleanup actions were performed, and PayRoute services were restarted at 09:26 HKT. Jetco was then engaged for a key exchange, which was completed at 09:33 HKT, and transaction processing normalised thereafter.

Further root cause analysis is underway and will be detailed in the RCA Report (RCAR).",Vicnesh Baskar,Vicnesh Baskar,,,Jenifer Cachero,Banking.Live,MOX,"Disk cleanup actions were done, and services were restarted",Partial Outage of,Paymentology,,,,,,,,,,,https://paymentology.atlassian.net/wiki/spaces/TS/pages/8681062406/Retrospective+-+INC-129+Full+Outage+of+Transaction+Processing,2025-04-23T00:34:51.267Z,2025-04-23T00:34:51.267Z,,,,,2025-04-23T02:35:13.159Z,2025-04-23T00:00:00.000Z,2025-04-23T02:35:13.159Z,,2025-04-23T05:47:12.516Z,,,7221,2025-04-23T07:20:55.059Z,,public,763.6,571.3,74.6,117.7,23apr-p1-129-full-outage-of-transaction-processing,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08PLPKBLTT,Reported by Vicnesh Baskar,false
130,Partial Outage of Transaction Processing,Service Incident,Post-Incident Tasks & Documentation,P3 - Critical,"On 24 April 2025 at 08:58 HKT, the support team was alerted by Mastercard regarding intermittent timeouts affecting BIN 544729. Initial investigation confirmed that the platform was stable and processing transactions as expected, apart from some transactions that timed out due to a delay with Mastercard.
The last advisement was received at 09:12 HKT, after which normal processing resumed. The platform continued to process valid transactions during the incident window. The issue appears to have originated externally, and Mastercard has been engaged for further investigation. Further updates on the root cause and preventive measures will be provided in the RCA Report (RCAR).",Vicnesh Baskar,Vicnesh Baskar,,,Jenifer Cachero,Banking.Live,MOX,N/A,Some transactions were intermitternly timing out between 00:28 UTC to 00:50 UTC,Third-Party - Paymentology,,,,,,,,,,,,2025-04-24T01:31:53.750Z,2025-04-24T01:31:53.750Z,,,,,2025-04-24T08:08:07.415Z,2025-04-24T00:28:00.000Z,2025-04-24T08:08:07.415Z,,,,,23773,2025-04-24T08:08:08.470Z,,public,773.3,698.2,10,65.2,24apr-p3-critical-130-partial-outage-of-transaction-processing,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08P73WNV9C,Reported by Vicnesh Baskar,false
131,MDES Tokenization Failure ,Service Incident,Closed,P2,"Paymentology MeaWallet I-TSP service was not receiving any calls (from around 10:18 UTC) , this resulted in MDES tokenization failures. Investigation identified one certificate was missing on incoming, the missing certificate was added (at 14:17 UTC) and we subsequently started receiving incoming calls. Clients confirmed the issue is resolved.",Kaisar Mahmood,Kaisar Mahmood,,,,Banking.Live,"Salaam Bank - Somalia, Wio, Utility Warehouse, C24, Constantinople",Missing certificate was added,MDES Tokenization Failure ,Paymentology,https://teams.microsoft.com/l/meetup-join/19%3ameeting_ZTBkODc5NTUtZDg0My00ZDJiLWE1OWYtOGU2NWMzZjE4NzBj%40thread.v2/0?context=%7b%22Tid%22%3a%224f7797e2-a59f-4381-ad8e-b81223603c9d%22%2c%22Oid%22%3a%22d48a7985-ef95-4c3b-8394-cfba4ea3afbb%22%7d,,,,,,,,,,,2025-04-24T13:16:26.504Z,2025-04-24T13:16:26.504Z,,,,,2025-04-24T14:59:56.520Z,2025-04-24T01:23:00.000Z,2025-04-24T14:59:56.520Z,,2025-04-25T06:56:42.686Z,2025-07-31T00:07:44.672Z,2025-07-31T00:07:44.672Z,6210,2025-07-31T00:07:44.802Z,,public,648.9,480.5,123.3,45.2,24apr-p2-131-mdes-tokenization-failure,https://slack.com/app_redirect?team=T03SMJWS8&channel=C08PMDD3A58,Reported by Kaisar Mahmood,false
